Type	POS	Headword	Rank	Freq	Range	NormFreq	NormRange
call			408	14	1	275.715	1.000
empty			408	14	1	275.715	1.000
english			408	14	1	275.715	1.000
everything			408	14	1	275.715	1.000
germany			408	14	1	275.715	1.000
girls			408	14	1	275.715	1.000
gun			408	14	1	275.715	1.000
happened			408	14	1	275.715	1.000
ice			408	14	1	275.715	1.000
lights			408	14	1	275.715	1.000
machine			408	14	1	275.715	1.000
middle			408	14	1	275.715	1.000
our			408	14	1	275.715	1.000
rest			408	14	1	275.715	1.000
robert			408	14	1	275.715	1.000
russian			408	14	1	275.715	1.000
soon			408	14	1	275.715	1.000
sun			408	14	1	275.715	1.000
telephone			408	14	1	275.715	1.000
tralfamadorian			408	14	1	275.715	1.000
written			408	14	1	275.715	1.000
among			430	13	1	256.021	1.000
better			430	13	1	256.021	1.000
close			430	13	1	256.021	1.000
doing			430	13	1	256.021	1.000
dome			430	13	1	256.021	1.000
during			430	13	1	256.021	1.000
free			430	13	1	256.021	1.000
guard			430	13	1	256.021	1.000
hot			430	13	1	256.021	1.000
keep			430	13	1	256.021	1.000
learned			430	13	1	256.021	1.000
lost			430	13	1	256.021	1.000
love			430	13	1	256.021	1.000
musketeers			430	13	1	256.021	1.000
named			430	13	1	256.021	1.000
often			430	13	1	256.021	1.000
optometry			430	13	1	256.021	1.000
silver			430	13	1	256.021	1.000
sort			430	13	1	256.021	1.000
thousands			430	13	1	256.021	1.000
trying			430	13	1	256.021	1.000
whose			430	13	1	256.021	1.000
wonderful			430	13	1	256.021	1.000
yet			430	13	1	256.021	1.000
alone			454	12	1	236.327	1.000
beings			454	12	1	236.327	1.000
boys			454	12	1	236.327	1.000
clock			454	12	1	236.327	1.000
covered			454	12	1	236.327	1.000
doctor			454	12	1	236.327	1.000
eight			454	12	1	236.327	1.000
enough			454	12	1	236.327	1.000
except			454	12	1	236.327	1.000
friend			454	12	1	236.327	1.000
gas			454	12	1	236.327	1.000
held			454	12	1	236.327	1.000
letter			454	12	1	236.327	1.000
mary			454	12	1	236.327	1.000
moon			454	12	1	236.327	1.000
nearly			454	12	1	236.327	1.000
others			454	12	1	236.327	1.000
plane			454	12	1	236.327	1.000
power			454	12	1	236.327	1.000
remember			454	12	1	236.327	1.000
russians			454	12	1	236.327	1.000
shaped			454	12	1	236.327	1.000
slaughterhouse			454	12	1	236.327	1.000
space			454	12	1	236.327	1.000
standing			454	12	1	236.327	1.000
steel			454	12	1	236.327	1.000
stop			454	12	1	236.327	1.000
universe			454	12	1	236.327	1.000
waiting			454	12	1	236.327	1.000
wearing			454	12	1	236.327	1.000
across			484	11	1	216.634	1.000
am			484	11	1	216.634	1.000
bag			484	11	1	216.634	1.000
blanket			484	11	1	216.634	1.000
broken			484	11	1	216.634	1.000
carried			484	11	1	216.634	1.000
chair			484	11	1	216.634	1.000
cold			484	11	1	216.634	1.000
couple			484	11	1	216.634	1.000
creatures			484	11	1	216.634	1.000
family			484	11	1	216.634	1.000
form			484	11	1	216.634	1.000
gate			484	11	1	216.634	1.000
hanging			484	11	1	216.634	1.000
imagine			484	11	1	216.634	1.000
instead			484	11	1	216.634	1.000
laughed			484	11	1	216.634	1.000
lying			484	11	1	216.634	1.000
may			484	11	1	216.634	1.000
moments			484	11	1	216.634	1.000
morning			484	11	1	216.634	1.000
move			484	11	1	216.634	1.000
moved			484	11	1	216.634	1.000
must			484	11	1	216.634	1.000
naked			484	11	1	216.634	1.000
near			484	11	1	216.634	1.000
office			484	11	1	216.634	1.000
onto			484	11	1	216.634	1.000
passed			484	11	1	216.634	1.000
paul			484	11	1	216.634	1.000
planet			484	11	1	216.634	1.000
present			484	11	1	216.634	1.000
real			484	11	1	216.634	1.000
sat			484	11	1	216.634	1.000
snow			484	11	1	216.634	1.000
soldier			484	11	1	216.634	1.000
squad			484	11	1	216.634	1.000
surgeon			484	11	1	216.634	1.000
syrup			484	11	1	216.634	1.000
trip			484	11	1	216.634	1.000
upon			484	11	1	216.634	1.000
words			484	11	1	216.634	1.000
wrote			484	11	1	216.634	1.000
according			527	10	1	196.940	1.000
actually			527	10	1	196.940	1.000
afternoon			527	10	1	196.940	1.000
ago			527	10	1	196.940	1.000
airplane			527	10	1	196.940	1.000
battle			527	10	1	196.940	1.000
bodies			527	10	1	196.940	1.000
boxcar			527	10	1	196.940	1.000
built			527	10	1	196.940	1.000
child			527	10	1	196.940	1.000
christ			527	10	1	196.940	1.000
cinderella			527	10	1	196.940	1.000
crash			527	10	1	196.940	1.000
done			527	10	1	196.940	1.000
drunk			527	10	1	196.940	1.000
dying			527	10	1	196.940	1.000
eating			527	10	1	196.940	1.000
expected			527	10	1	196.940	1.000
force			527	10	1	196.940	1.000
guy			527	10	1	196.940	1.000
happy			527	10	1	196.940	1.000
help			527	10	1	196.940	1.000
holes			527	10	1	196.940	1.000
hours			527	10	1	196.940	1.000
knife			527	10	1	196.940	1.000
late			527	10	1	196.940	1.000
legs			527	10	1	196.940	1.000
movie			527	10	1	196.940	1.000
moving			527	10	1	196.940	1.000
planes			527	10	1	196.940	1.000
promised			527	10	1	196.940	1.000
quartet			527	10	1	196.940	1.000
quiet			527	10	1	196.940	1.000
reading			527	10	1	196.940	1.000
rich			527	10	1	196.940	1.000
sang			527	10	1	196.940	1.000
shed			527	10	1	196.940	1.000
shit			527	10	1	196.940	1.000
shoes			527	10	1	196.940	1.000
sick			527	10	1	196.940	1.000
speaking			527	10	1	196.940	1.000
spoke			527	10	1	196.940	1.000
street			527	10	1	196.940	1.000
sure			527	10	1	196.940	1.000
taking			527	10	1	196.940	1.000
teacher			527	10	1	196.940	1.000
telling			527	10	1	196.940	1.000
ten			527	10	1	196.940	1.000
upstairs			527	10	1	196.940	1.000
voice			527	10	1	196.940	1.000
wagon			527	10	1	196.940	1.000
weak			527	10	1	196.940	1.000
word			527	10	1	196.940	1.000
worked			527	10	1	196.940	1.000
write			527	10	1	196.940	1.000
writing			527	10	1	196.940	1.000
yellow			527	10	1	196.940	1.000
almost			584	9	1	177.246	1.000
arm			584	9	1	177.246	1.000
arms			584	9	1	177.246	1.000
asleep			584	9	1	177.246	1.000
bar			584	9	1	177.246	1.000
bomb			584	9	1	177.246	1.000
bombed			584	9	1	177.246	1.000
bottom			584	9	1	177.246	1.000
box			584	9	1	177.246	1.000
british			584	9	1	177.246	1.000
change			584	9	1	177.246	1.000
clothes			584	9	1	177.246	1.000
college			584	9	1	177.246	1.000
crazy			584	9	1	177.246	1.000
does			584	9	1	177.246	1.000
dollars			584	9	1	177.246	1.000
electric			584	9	1	177.246	1.000
fat			584	9	1	177.246	1.000
few			584	9	1	177.246	1.000
filled			584	9	1	177.246	1.000
forever			584	9	1	177.246	1.000
fought			584	9	1	177.246	1.000
future			584	9	1	177.246	1.000
general			584	9	1	177.246	1.000
golden			584	9	1	177.246	1.000
hobo			584	9	1	177.246	1.000
important			584	9	1	177.246	1.000
law			584	9	1	177.246	1.000
low			584	9	1	177.246	1.000
military			584	9	1	177.246	1.000
mind			584	9	1	177.246	1.000
number			584	9	1	177.246	1.000
optometrists			584	9	1	177.246	1.000
paper			584	9	1	177.246	1.000
party			584	9	1	177.246	1.000
police			584	9	1	177.246	1.000
published			584	9	1	177.246	1.000
quit			584	9	1	177.246	1.000
science			584	9	1	177.246	1.000
secret			584	9	1	177.246	1.000
seemed			584	9	1	177.246	1.000
sixty			584	9	1	177.246	1.000
sound			584	9	1	177.246	1.000
talked			584	9	1	177.246	1.000
talking			584	9	1	177.246	1.000
television			584	9	1	177.246	1.000
third			584	9	1	177.246	1.000
thousand			584	9	1	177.246	1.000
trouble			584	9	1	177.246	1.000
v			584	9	1	177.246	1.000
veterans			584	9	1	177.246	1.000
warm			584	9	1	177.246	1.000
watching			584	9	1	177.246	1.000
wheel			584	9	1	177.246	1.000
wild			584	9	1	177.246	1.000
wildhack			584	9	1	177.246	1.000
women			584	9	1	177.246	1.000
afraid			641	8	1	157.552	1.000
age			641	8	1	157.552	1.000
ain			641	8	1	157.552	1.000
anyway			641	8	1	157.552	1.000
ate			641	8	1	157.552	1.000
attention			641	8	1	157.552	1.000
azure			641	8	1	157.552	1.000
backwards			641	8	1	157.552	1.000
become			641	8	1	157.552	1.000
believe			641	8	1	157.552	1.000
bob			641	8	1	157.552	1.000
bombers			641	8	1	157.552	1.000
boston			641	8	1	157.552	1.000
both			641	8	1	157.552	1.000
building			641	8	1	157.552	1.000
cadillac			641	8	1	157.552	1.000
childhood			641	8	1	157.552	1.000
clocks			641	8	1	157.552	1.000
combat			641	8	1	157.552	1.000
corner			641	8	1	157.552	1.000
corporal			641	8	1	157.552	1.000
crossed			641	8	1	157.552	1.000
diamond			641	8	1	157.552	1.000
dropped			641	8	1	157.552	1.000
enemy			641	8	1	157.552	1.000
eyed			641	8	1	157.552	1.000
fact			641	8	1	157.552	1.000
fairy			641	8	1	157.552	1.000
fiction			641	8	1	157.552	1.000
fingers			641	8	1	157.552	1.000
fourth			641	8	1	157.552	1.000
french			641	8	1	157.552	1.000
fun			641	8	1	157.552	1.000
girl			641	8	1	157.552	1.000
godmother			641	8	1	157.552	1.000
guess			641	8	1	157.552	1.000
hour			641	8	1	157.552	1.000
kept			641	8	1	157.552	1.000
liked			641	8	1	157.552	1.000
line			641	8	1	157.552	1.000
maggie			641	8	1	157.552	1.000
main			641	8	1	157.552	1.000
makes			641	8	1	157.552	1.000
married			641	8	1	157.552	1.000
miles			641	8	1	157.552	1.000
missed			641	8	1	157.552	1.000
movies			641	8	1	157.552	1.000
ones			641	8	1	157.552	1.000
owl			641	8	1	157.552	1.000
pony			641	8	1	157.552	1.000
public			641	8	1	157.552	1.000
question			641	8	1	157.552	1.000
radio			641	8	1	157.552	1.000
railroad			641	8	1	157.552	1.000
reminded			641	8	1	157.552	1.000
ring			641	8	1	157.552	1.000
road			641	8	1	157.552	1.000
ruins			641	8	1	157.552	1.000
seem			641	8	1	157.552	1.000
seven			641	8	1	157.552	1.000
several			641	8	1	157.552	1.000
shelter			641	8	1	157.552	1.000
shoulder			641	8	1	157.552	1.000
singing			641	8	1	157.552	1.000
sir			641	8	1	157.552	1.000
spoon			641	8	1	157.552	1.000
star			641	8	1	157.552	1.000
tears			641	8	1	157.552	1.000
teeth			641	8	1	157.552	1.000
terrible			641	8	1	157.552	1.000
thank			641	8	1	157.552	1.000
thirty			641	8	1	157.552	1.000
together			641	8	1	157.552	1.000
turn			641	8	1	157.552	1.000
unstuck			641	8	1	157.552	1.000
vietnam			641	8	1	157.552	1.000
walked			641	8	1	157.552	1.000
wars			641	8	1	157.552	1.000
wedding			641	8	1	157.552	1.000
whatever			641	8	1	157.552	1.000
windows			641	8	1	157.552	1.000
yard			641	8	1	157.552	1.000
absolutely			723	7	1	137.858	1.000
america			723	7	1	137.858	1.000
answer			723	7	1	137.858	1.000
beginning			723	7	1	137.858	1.000
believed			723	7	1	137.858	1.000
bible			723	7	1	137.858	1.000
bright			723	7	1	137.858	1.000
c			723	7	1	137.858	1.000
camp			723	7	1	137.858	1.000
cape			723	7	1	137.858	1.000
captured			723	7	1	137.858	1.000
case			723	7	1	137.858	1.000
caught			723	7	1	137.858	1.000
chicago			723	7	1	137.858	1.000
cigarettes			723	7	1	137.858	1.000
coats			723	7	1	137.858	1.000
company			723	7	1	137.858	1.000
corpse			723	7	1	137.858	1.000
destroyed			723	7	1	137.858	1.000
disease			723	7	1	137.858	1.000
doctors			723	7	1	137.858	1.000
dressed			723	7	1	137.858	1.000
early			723	7	1	137.858	1.000
easy			723	7	1	137.858	1.000
enlisted			723	7	1	137.858	1.000
europe			723	7	1	137.858	1.000
evidently			723	7	1	137.858	1.000
eye			723	7	1	137.858	1.000
factory			723	7	1	137.858	1.000
felt			723	7	1	137.858	1.000
fence			723	7	1	137.858	1.000
fifty			723	7	1	137.858	1.000
fine			723	7	1	137.858	1.000
flew			723	7	1	137.858	1.000
fuck			723	7	1	137.858	1.000
funny			723	7	1	137.858	1.000
gluck			723	7	1	137.858	1.000
guide			723	7	1	137.858	1.000
hello			723	7	1	137.858	1.000
helmet			723	7	1	137.858	1.000
helped			723	7	1	137.858	1.000
hole			723	7	1	137.858	1.000
imagined			723	7	1	137.858	1.000
infantry			723	7	1	137.858	1.000
interesting			723	7	1	137.858	1.000
ivory			723	7	1	137.858	1.000
lake			723	7	1	137.858	1.000
letters			723	7	1	137.858	1.000
lines			723	7	1	137.858	1.000
lips			723	7	1	137.858	1.000
locked			723	7	1	137.858	1.000
locker			723	7	1	137.858	1.000
loud			723	7	1	137.858	1.000
magic			723	7	1	137.858	1.000
major			723	7	1	137.858	1.000
maybe			723	7	1	137.858	1.000
meet			723	7	1	137.858	1.000
mine			723	7	1	137.858	1.000
month			723	7	1	137.858	1.000
morphine			723	7	1	137.858	1.000
mouth			723	7	1	137.858	1.000
mr			723	7	1	137.858	1.000
muff			723	7	1	137.858	1.000
nestled			723	7	1	137.858	1.000
officer			723	7	1	137.858	1.000
oil			723	7	1	137.858	1.000
optometrist			723	7	1	137.858	1.000
overcoat			723	7	1	137.858	1.000
patient			723	7	1	137.858	1.000
play			723	7	1	137.858	1.000
played			723	7	1	137.858	1.000
point			723	7	1	137.858	1.000
pool			723	7	1	137.858	1.000
president			723	7	1	137.858	1.000
raid			723	7	1	137.858	1.000
remembered			723	7	1	137.858	1.000
replied			723	7	1	137.858	1.000
running			723	7	1	137.858	1.000
silence			723	7	1	137.858	1.000
sounds			723	7	1	137.858	1.000
soup			723	7	1	137.858	1.000
stage			723	7	1	137.858	1.000
staring			723	7	1	137.858	1.000
started			723	7	1	137.858	1.000
stone			723	7	1	137.858	1.000
stories			723	7	1	137.858	1.000
taught			723	7	1	137.858	1.000
theater			723	7	1	137.858	1.000
thin			723	7	1	137.858	1.000
travel			723	7	1	137.858	1.000
twelve			723	7	1	137.858	1.000
um			723	7	1	137.858	1.000
unconscious			723	7	1	137.858	1.000
understood			723	7	1	137.858	1.000
